,Item,Price,url
81,Men's Peshawari Chappal,"Rs.1,999.00",https://www.servis.pk/collections/men
82,Men's Stylish Sandals,"Rs.1,999.00",https://www.servis.pk/collections/men
83,Men's Peshawari Chappal,"Rs.2,799.00",https://www.servis.pk/collections/men
84,Men's Peshawari Sandals,"Rs.2,799.00",https://www.servis.pk/collections/men
85,Men's Peshawari Sandals,"Rs.2,299.00",https://www.servis.pk/collections/men
86,Men's Classic Chappals,"Rs.1,399.00",https://www.servis.pk/collections/men
87,Men's Classic Chappals,"Rs.1,399.00",https://www.servis.pk/collections/men
88,Men's All-day Chappals,"Rs.1,399.00",https://www.servis.pk/collections/men
89,Men's Smart Casual Flats,"Rs.1,999.00",https://www.servis.pk/collections/men
90,Men's Smart Casual Flats,"Rs.3,499.00",https://www.servis.pk/collections/men
91,Men's Daily Wear Chappal,"Rs.3,499.00",https://www.servis.pk/collections/men
92,Men's All Day Chappals,"Rs.2,999.00",https://www.servis.pk/collections/men
93,Men's Classic Chappal,"Rs.2,999.00",https://www.servis.pk/collections/men
94,Men's Everyday Chappal,"Rs.1,799.00",https://www.servis.pk/collections/men
95,Men's Casual Wear Chappal,"Rs.1,899.00",https://www.servis.pk/collections/men
96,Men's Summer Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
97,Men's Daily Wear Chappal,"Rs.2,999.00",https://www.servis.pk/collections/men
98,Men's Formal Chappals,"Rs.1,499.00",https://www.servis.pk/collections/men
99,Men's Comfy Chappal,"Rs.1,999.00",https://www.servis.pk/collections/men
100,Men's Longwear Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
101,Men's Casual Chappals,"Rs.5,499.00",https://www.servis.pk/collections/men
102,Men's Casual Chappals,"Rs.5,499.00",https://www.servis.pk/collections/men
103,Men's Everyday Chappals,"Rs.5,499.00",https://www.servis.pk/collections/men
104,Men's Everyday Chappals,"Rs.5,499.00",https://www.servis.pk/collections/men
105,Men's Ultra Soft Sandals,"Rs.3,499.00",https://www.servis.pk/collections/men
106,Men's Strapped Sandals,"Rs.4,499.00",https://www.servis.pk/collections/men
107,Men's Casual Wear Chappal,"Rs.3,299.00",https://www.servis.pk/collections/men
108,Men's Toe Ring Chappal,"Rs.4,299.00",https://www.servis.pk/collections/men
109,Men's Cool Summer Chappal,"Rs.4,299.00",https://www.servis.pk/collections/men
110,Men's Cool Summer Chappals,"Rs.4,299.00",https://www.servis.pk/collections/men
111,Men Casual Sandals,"Rs.4,999.00",https://www.servis.pk/collections/men
112,Men Casual Sandals,"Rs.4,999.00",https://www.servis.pk/collections/men
113,Men Casual Sandals,"Rs.4,999.00",https://www.servis.pk/collections/men
114,Men's Trendy Sandals,"Rs.3,999.00",https://www.servis.pk/collections/men
115,Men's Strapped Sandals,"Rs.3,999.00",https://www.servis.pk/collections/men
116,M-CH-0400004,"Rs.4,499.00",https://www.servis.pk/collections/men
117,M-CH-0400004,"Rs.4,499.00",https://www.servis.pk/collections/men
118,Men's Comfy Sandals,"Rs.4,499.00",https://www.servis.pk/collections/men
119,Men's Everday Chappal,"Rs.3,499.00",https://www.servis.pk/collections/men
120,Men's Summer Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
121,Men's Summer Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
122,Men's Basic Slides,"Rs.1,799.00",https://www.servis.pk/collections/men
123,Men's Basic Slides,"Rs.1,799.00",https://www.servis.pk/collections/men
124,Men's Everyday Chappal,"Rs.1,199.00",https://www.servis.pk/collections/men
125,Men's Everyday Chappal,"Rs.1,199.00",https://www.servis.pk/collections/men
126,Men's Summer Sandals,"Rs.3,699.00",https://www.servis.pk/collections/men
127,Men's Casual Sandals,"Rs.3,499.00",https://www.servis.pk/collections/men
128,Men's Casual Sandals,"Rs.3,499.00",https://www.servis.pk/collections/men
129,Men's Peshawari Sandals,"Rs.2,299.00",https://www.servis.pk/collections/men
130,Men's Peshawari Sandals,"Rs.2,299.00",https://www.servis.pk/collections/men
131,Men's Classic Sandals,"Rs.1,999.00",https://www.servis.pk/collections/men
132,Men's Everyday Sandals,"Rs.1,999.00",https://www.servis.pk/collections/men
