,Item,Area,Rate,Desc
0,Gold,Pakistan,Rs. 356000.00,Pakistan 24 Karat Gold Rate per Tola
1,Gold,KHI,Rs. 356000,24 Karat Gold Rate per Tola
2,Gold,LHR,Rs. 356050,24 Karat Gold Rate per Tola
3,Gold,ISB,Rs. 356100,24 Karat Gold Rate per Tola
4,Gold,UET,Rs. 356200,24 Karat Gold Rate per Tola
5,Gold,PEW,Rs. 356150,24 Karat Gold Rate per Tola
6,Gold,RWP,Rs. 356150,24 Karat Gold Rate per Tola
7,Gold,FSD,Rs. 356100,24 Karat Gold Rate per Tola
8,Gold,HYD,Rs. 356150,24 Karat Gold Rate per Tola
9,Gold,SKT,Rs. 356200,24 Karat Gold Rate per Tola
10,Gold,SUK,Rs. 356300,24 Karat Gold Rate per Tola
11,Gold,GIL,Rs. 356350,24 Karat Gold Rate per Tola
12,Gold,KDU,Rs. 356400,24 Karat Gold Rate per Tola
13,Gold,AJK,Rs. 356300,24 Karat Gold Rate per Tola
14,Gold,GRW,Rs. 356300,24 Karat Gold Rate per Tola
15,Gold,MUL,Rs. 356250,24 Karat Gold Rate per Tola
16,Gold,MFG,Rs. 356300,24 Karat Gold Rate per Tola
17,Silver,Pakistan,Rs. 3938.00,Pakistan 24 Karat Silver Rate per Tola
